name, selling price, buying price, reserved quantity, target quantity, foreign merchant price, auto-generated, needed equipment(deprecated), minimum reputation,  desc code for the help screen
clay_wall_diag,16,14,0,0,,FALSE,,512,construction
clay_wall,16,14,0,0,,FALSE,,512,construction
diorite_pillar,16,14,0,0,,FALSE,,512,construction
iron_lantern,25,20,16,32,,FALSE,,512,construction
iron_lattice,25,20,0,0,,FALSE,,512,construction
ironwood_door,100,50,0,0,,FALSE,,512,construction
ironwood_slab_item,100,50,0,0,,FALSE,,512,construction
ironwoodlog,2,1,0,0,,FALSE,,512,construction
ironwoodplanks,1,1,0,0,,FALSE,,512,construction
olive_door,100,50,0,0,,FALSE,,512,construction
olive_slab_item,100,50,0,0,,FALSE,,512,construction
olivelog,2,1,0,0,,FALSE,,512,construction
oliveplanks,1,1,0,0,,FALSE,,512,construction
painted_wood_black,4,2,0,0,,FALSE,,512,construction
painted_wood_blue,4,2,0,0,,FALSE,,512,construction
painted_wood_brown,4,2,0,0,,FALSE,,512,construction
painted_wood_cyan,4,2,0,0,,FALSE,,512,construction
painted_wood_gray,4,2,0,0,,FALSE,,512,construction
painted_wood_green,4,2,0,0,,FALSE,,512,construction
painted_wood_light_blue,4,2,0,0,,FALSE,,512,construction
painted_wood_lime,4,2,0,0,,FALSE,,512,construction
painted_wood_magenta,4,2,0,0,,FALSE,,512,construction
painted_wood_orange,4,2,0,0,,FALSE,,512,construction
painted_wood_pink,4,2,0,0,,FALSE,,512,construction
painted_wood_purple,4,2,0,0,,FALSE,,512,construction
painted_wood_red,4,2,0,0,,FALSE,,512,construction
painted_wood_silver,4,2,0,0,,FALSE,,512,construction
painted_wood_white,4,2,0,0,,FALSE,,512,construction
painted_wood_yellow,4,2,0,0,,FALSE,,512,construction
slate_brick_slab_item,3,2,0,0,,FALSE,,512,construction
slate_brick,5,3,0,0,,FALSE,,512,construction
slate_chiseled,5,3,0,0,,FALSE,,512,construction
slate_pillar,5,3,0,0,,FALSE,,512,construction
slate_roof_slab_item,2,1,0,0,,FALSE,,512,construction
slate_roof,5,3,0,0,,FALSE,,512,construction
slate_tile,5,3,0,0,,FALSE,,512,construction
slate,2,1,0,0,,FALSE,,512,construction
stairs_ironwood,4,2,0,0,,FALSE,,512,construction
stairs_olive,4,2,0,0,,FALSE,,512,construction
stairs_slate_brick,5,3,0,0,,FALSE,,512,construction
stairs_slate_roof,5,3,0,0,,FALSE,,512,construction
stone_pillar,16,14,0,0,,FALSE,,512,construction
,,,,,,,,,
chain,3,1,0,0,,FALSE,,512,construction
rope,2,1,0,0,,FALSE,,512,construction
,,,,,,,,,
cabinet,16,14,0,0,,FALSE,,512,construction
candle_gold,64,32,0,0,,FALSE,,512,construction
candle,5,3,16,32,,FALSE,,512,construction
chain_gold,16,14,0,0,,FALSE,,512,construction
chair_acacia,16,14,0,0,,FALSE,,512,construction
chair_big_oak,16,14,0,0,,FALSE,,512,construction
chair_birch,16,14,0,0,,FALSE,,512,construction
chair_ironwood,16,14,0,0,,FALSE,,512,construction
chair_jungle,16,14,0,0,,FALSE,,512,construction
chair_oak,16,14,0,0,,FALSE,,512,construction
chair_olive,16,14,0,0,,FALSE,,512,construction
chair_spruce,16,14,0,0,,FALSE,,512,construction
chandelier_gold,64,32,0,0,,FALSE,,512,construction
chandelier,100,50,8,16,,FALSE,,512,construction
fence_gate_ironwood,4,2,0,0,,FALSE,,512,construction
fence_gate_olive,4,2,0,0,,FALSE,,512,construction
fence_ironwood,4,2,0,0,,FALSE,,512,construction
fence_olive,4,2,0,0,,FALSE,,512,construction
fertile_soil,2,1,0,0,,FALSE,,512,construction
gargoyle,100,50,16,8,,FALSE,,512,construction
golden_lantern,100,50,16,8,,FALSE,,512,construction
granite_pillar,16,14,0,0,,FALSE,,512,construction
table_acacia,20,16,0,0,,FALSE,,512,construction
table_big_oak,20,16,0,0,,FALSE,,512,construction
table_birch,20,16,0,0,,FALSE,,512,construction
table_ironwood,20,16,0,0,,FALSE,,512,construction
table_jungle,20,16,0,0,,FALSE,,512,construction
table_oak,20,16,0,0,,FALSE,,512,construction
table_olive,20,16,0,0,,FALSE,,512,construction
table_spruce,20,16,0,0,,FALSE,,512,construction
vase,100,50,4,8,,FALSE,,512,construction
