ID,Metadata,NBT Tag Compound,Display Name,
ebwizardry:scroll,76,,Scroll of Spider Swarm,
ebwizardry:scroll,128,,Scroll of Ice Spikes,
ebwizardry:scroll,86,,Scroll of Greater Heal,
ebwizardry:scroll,131,,Scroll of Cobwebs,
ebwizardry:scroll,4,,Scroll of Snowball,
ebwizardry:scroll,13,,Scroll of Fireball,
ebwizardry:scroll,99,,Scroll of Plague of Darkness,
ebwizardry:scroll,124,,Scroll of Greater Fireball,
ebwizardry:scroll,40,,Scroll of Conjure Sword,
ebwizardry:scroll,61,,Scroll of Lightning Bolt,
ebwizardry:scroll,50,,Scroll of Detonate,
ebwizardry:scroll,111,,Scroll of Smoke Bomb,
ebwizardry:scroll,126,,Scroll of Ice Lance,
ebwizardry:scroll,90,,Scroll of Transience,
ebwizardry:scroll,64,,Scroll of Lightning Disk,
ebwizardry:scroll,133,,Scroll of Arcane Jammer,
ebwizardry:scroll,96,,Scroll of Summon Ice Giant,
ebwizardry:scroll,43,,Scroll of Force Arrow,
ebwizardry:scroll,42,,Scroll of Conjure Bow,
ebwizardry:scroll,10,,Scroll of Light,
ebwizardry:scroll,136,,Scroll of Hailstorm,
ebwizardry:scroll,108,,Scroll of Arrow Rain,
ebwizardry:scroll,79,,Scroll of Invisibility,
ebwizardry:scroll,27,,Scroll of Lightning Arrow,
ebwizardry:scroll,3,,Scroll of Freeze,
ebwizardry:scroll,33,,Scroll of Growth Aura,
ebwizardry:scroll,107,,Scroll of Summon Iron Golem,
ebwizardry:scroll,69,,Scroll of Darkness Orb,
ebwizardry:scroll,46,,Scroll of Cure Effects,
ebwizardry:scroll,132,,Scroll of Decoy,
ebwizardry:scroll,135,,Scroll of Group Heal,
ebwizardry:scroll,12,,Scroll of Heal,
ebwizardry:scroll,115,,Scroll of Intimidate,
ebwizardry:scroll,38,,Scroll of Blink,
ebwizardry:scroll,102,,Scroll of Forest's Curse,
ebwizardry:scroll,120,,Scroll of Pocket Workbench,
ebwizardry:scroll,123,,Scroll of Oakflesh,
ebwizardry:scroll,83,,Scroll of Spectral Pathway,
ebwizardry:scroll,45,,Scroll of Replenish Hunger,
ebwizardry:scroll,110,,Scroll of Font of Vitality,
ebwizardry:scroll,138,,Scroll of Summon Storm Elemental,
ebwizardry:scroll,118,,Scroll of Darkvision,
ebwizardry:scroll,139,,Scroll of Earthquake,
ebwizardry:scroll,134,,Scroll of Conjure Armor,
ebwizardry:scroll,112,,Scroll of Mind Trick,
ebwizardry:scroll,37,,Scroll of Summon Spirit Wolf,
ebwizardry:scroll,82,,Scroll of Transportation,
ebwizardry:scroll,140,,Scroll of Font of Mana,
ebwizardry:scroll,21,,Scroll of Ice Statue,
ebwizardry:scroll,93,,Scroll of Summon Phoenix,
ebwizardry:scroll,47,,Scroll of Heal Ally,
ebwizardry:scroll,15,,Scroll of Firebomb,
ebwizardry:scroll,36,,Scroll of Poison Bomb,
ebwizardry:scroll,81,,Scroll of Force Orb,
ebwizardry:scroll,72,,Scroll of Water Breathing,
ebwizardry:scroll,2,,Scroll of Ignite,
ebwizardry:scroll,89,,Scroll of Ironflesh,
ebwizardry:scroll,5,,Scroll of Arc,
ebwizardry:scroll,116,,Scroll of Banish,
ebwizardry:scroll,106,,Scroll of Shockwave,
ebwizardry:scroll,122,,Scroll of Invigorating Presence,
ebwizardry:scroll,104,,Scroll of Silverfish Swarm,
ebwizardry:scroll,11,,Scroll of Telekinesis,
ebwizardry:scroll,97,,Scroll of Thunderstorm,
ebwizardry:scroll,39,,Scroll of Agility,
ebwizardry:scroll,56,,Scroll of Ice Shroud,
ebwizardry:scroll,98,,Scroll of Lightning Hammer,
ebwizardry:scroll,77,,Scroll of Slime,
ebwizardry:scroll,20,,Scroll of Ice Shard,
ebwizardry:scroll,52,,Scroll of Fireskin,
ebwizardry:scroll,29,,Scroll of Summon Skeleton,
ebwizardry:scroll,9,,Scroll of Dart,
ebwizardry:scroll,125,,Scroll of Flaming Weapon,
ebwizardry:scroll,26,,Scroll of Lightning Sigil,
ebwizardry:scroll,6,,Scroll of Thunderbolt,
ebwizardry:scroll,66,,Scroll of Summon Wither Skeleton,
ebwizardry:scroll,17,,Scroll of Firebolt,
ebwizardry:scroll,114,,Scroll of Pocket Furnace,
ebwizardry:scroll,105,,Scroll of Black Hole,
ebwizardry:scroll,54,,Scroll of Blizzard,
ebwizardry:scroll,19,,Scroll of Summon Snow Golem,
ebwizardry:scroll,59,,Scroll of Invoke Weather,
ebwizardry:scroll,53,,Scroll of Flaming Axe,
ebwizardry:scroll,73,,Scroll of Tornado,
ebwizardry:scroll,51,,Scroll of Fire Resistance,
ebwizardry:scroll,94,,Scroll of Ice Age,
ebwizardry:scroll,34,,Scroll of Bubble,
ebwizardry:scroll,68,,Scroll of Wither Skull,
ebwizardry:scroll,84,,Scroll of Phase Step,
ebwizardry:scroll,113,,Scroll of Leap,
ebwizardry:scroll,7,,Scroll of Summon Zombie,
ebwizardry:scroll,57,,Scroll of Ice Charge,
ebwizardry:scroll,101,,Scroll of Summon Shadow Wraith,
ebwizardry:scroll,8,,Scroll of Snare,
ebwizardry:scroll,78,,Scroll of Petrify,
ebwizardry:scroll,88,,Scroll of Forcefield,
ebwizardry:scroll,1,,Scroll of Magic Missile,
ebwizardry:scroll,25,,Scroll of Homing Spark,
ebwizardry:scroll,30,,Scroll of Metamorphosis,
ebwizardry:scroll,85,,Scroll of Vanishing Box,
ebwizardry:scroll,24,,Scroll of Spark Bomb,
ebwizardry:scroll,75,,Scroll of Summon Spirit Horse,
ebwizardry:scroll,55,,Scroll of Summon Ice Wraith,
ebwizardry:scroll,35,,Scroll of Whirlwind,
ebwizardry:scroll,71,,Scroll of Decay,
ebwizardry:scroll,62,,Scroll of Summon Lightning Wraith,
ebwizardry:scroll,119,,Scroll of Clairvoyance,
ebwizardry:scroll,127,,Scroll of Freezing Weapon,
ebwizardry:scroll,41,,Scroll of Conjure Pickaxe,
ebwizardry:scroll,130,,Scroll of Curse of Soulbinding,
ebwizardry:scroll,49,,Scroll of Ring of Fire,
ebwizardry:scroll,16,,Scroll of Fire Sigil,
ebwizardry:scroll,129,,Scroll of Lightning Pulse,
ebwizardry:scroll,65,,Scroll of Mind Control,
ebwizardry:scroll,32,,Scroll of Poison,
ebwizardry:siphon_upgrade,0,,Wand Siphon Upgrade,
ebwizardry:smoke_bomb,0,,Smoke Bomb,
ebwizardry:spell_book,1,,Spell Book,
ebwizardry:spell_book,2,,Spell Book,
ebwizardry:spell_book,3,,Spell Book,
ebwizardry:spell_book,4,,Spell Book,
ebwizardry:spell_book,5,,Spell Book,
ebwizardry:spell_book,6,,Spell Book,
ebwizardry:spell_book,7,,Spell Book,
ebwizardry:spell_book,8,,Spell Book,
ebwizardry:spell_book,9,,Spell Book,
ebwizardry:spell_book,10,,Spell Book,
ebwizardry:spell_book,11,,Spell Book,
ebwizardry:spell_book,12,,Spell Book,
ebwizardry:spell_book,13,,Spell Book,
ebwizardry:spell_book,14,,Spell Book,
ebwizardry:spell_book,15,,Spell Book,
ebwizardry:spell_book,16,,Spell Book,
ebwizardry:spell_book,17,,Spell Book,
ebwizardry:spell_book,18,,Spell Book,
ebwizardry:spell_book,19,,Spell Book,
ebwizardry:spell_book,20,,Spell Book,
ebwizardry:spell_book,21,,Spell Book,
ebwizardry:spell_book,22,,Spell Book,
ebwizardry:spell_book,23,,Spell Book,
ebwizardry:spell_book,24,,Spell Book,
ebwizardry:spell_book,25,,Spell Book,
ebwizardry:spell_book,26,,Spell Book,
ebwizardry:spell_book,27,,Spell Book,
ebwizardry:spell_book,28,,Spell Book,
ebwizardry:spell_book,29,,Spell Book,
ebwizardry:spell_book,30,,Spell Book,
ebwizardry:spell_book,31,,Spell Book,
ebwizardry:spell_book,32,,Spell Book,
ebwizardry:spell_book,33,,Spell Book,
ebwizardry:spell_book,34,,Spell Book,
ebwizardry:spell_book,35,,Spell Book,
ebwizardry:spell_book,36,,Spell Book,
ebwizardry:spell_book,37,,Spell Book,
ebwizardry:spell_book,38,,Spell Book,
ebwizardry:spell_book,39,,Spell Book,
ebwizardry:spell_book,40,,Spell Book,
ebwizardry:spell_book,41,,Spell Book,
ebwizardry:spell_book,42,,Spell Book,
ebwizardry:spell_book,43,,Spell Book,
ebwizardry:spell_book,44,,Spell Book,
ebwizardry:spell_book,45,,Spell Book,
ebwizardry:spell_book,46,,Spell Book,
ebwizardry:spell_book,47,,Spell Book,
ebwizardry:spell_book,48,,Spell Book,
ebwizardry:spell_book,49,,Spell Book,
ebwizardry:spell_book,50,,Spell Book,
ebwizardry:spell_book,51,,Spell Book,
ebwizardry:spell_book,52,,Spell Book,
ebwizardry:spell_book,53,,Spell Book,
ebwizardry:spell_book,54,,Spell Book,
ebwizardry:spell_book,55,,Spell Book,
ebwizardry:spell_book,56,,Spell Book,
ebwizardry:spell_book,57,,Spell Book,
ebwizardry:spell_book,58,,Spell Book,
ebwizardry:spell_book,59,,Spell Book,
ebwizardry:spell_book,60,,Spell Book,
ebwizardry:spell_book,61,,Spell Book,
ebwizardry:spell_book,62,,Spell Book,
ebwizardry:spell_book,63,,Spell Book,
ebwizardry:spell_book,64,,Spell Book,
ebwizardry:spell_book,65,,Spell Book,
ebwizardry:spell_book,66,,Spell Book,
ebwizardry:spell_book,67,,Spell Book,
ebwizardry:spell_book,68,,Spell Book,
ebwizardry:spell_book,69,,Spell Book,
ebwizardry:spell_book,70,,Spell Book,
ebwizardry:spell_book,71,,Spell Book,
ebwizardry:spell_book,72,,Spell Book,
ebwizardry:spell_book,73,,Spell Book,
ebwizardry:spell_book,74,,Spell Book,
ebwizardry:spell_book,75,,Spell Book,
ebwizardry:spell_book,76,,Spell Book,
ebwizardry:spell_book,77,,Spell Book,
ebwizardry:spell_book,78,,Spell Book,
ebwizardry:spell_book,79,,Spell Book,
ebwizardry:spell_book,80,,Spell Book,
ebwizardry:spell_book,81,,Spell Book,
ebwizardry:spell_book,82,,Spell Book,
ebwizardry:spell_book,83,,Spell Book,
ebwizardry:spell_book,84,,Spell Book,
ebwizardry:spell_book,85,,Spell Book,
ebwizardry:spell_book,86,,Spell Book,
ebwizardry:spell_book,87,,Spell Book,
ebwizardry:spell_book,88,,Spell Book,
ebwizardry:spell_book,89,,Spell Book,
ebwizardry:spell_book,90,,Spell Book,
ebwizardry:spell_book,91,,Spell Book,
ebwizardry:spell_book,92,,Spell Book,
ebwizardry:spell_book,93,,Spell Book,
ebwizardry:spell_book,94,,Spell Book,
ebwizardry:spell_book,95,,Spell Book,
ebwizardry:spell_book,96,,Spell Book,
ebwizardry:spell_book,97,,Spell Book,
ebwizardry:spell_book,98,,Spell Book,
ebwizardry:spell_book,99,,Spell Book,
ebwizardry:spell_book,100,,Spell Book,
ebwizardry:spell_book,101,,Spell Book,
ebwizardry:spell_book,102,,Spell Book,
ebwizardry:spell_book,103,,Spell Book,
ebwizardry:spell_book,104,,Spell Book,
ebwizardry:spell_book,105,,Spell Book,
ebwizardry:spell_book,106,,Spell Book,
ebwizardry:spell_book,107,,Spell Book,
ebwizardry:spell_book,108,,Spell Book,
ebwizardry:spell_book,109,,Spell Book,
ebwizardry:spell_book,110,,Spell Book,
ebwizardry:spell_book,111,,Spell Book,
ebwizardry:spell_book,112,,Spell Book,
ebwizardry:spell_book,113,,Spell Book,
ebwizardry:spell_book,114,,Spell Book,
ebwizardry:spell_book,115,,Spell Book,
ebwizardry:spell_book,116,,Spell Book,
ebwizardry:spell_book,117,,Spell Book,
ebwizardry:spell_book,118,,Spell Book,
ebwizardry:spell_book,119,,Spell Book,
ebwizardry:spell_book,120,,Spell Book,
ebwizardry:spell_book,121,,Spell Book,
ebwizardry:spell_book,122,,Spell Book,
ebwizardry:spell_book,123,,Spell Book,
ebwizardry:spell_book,124,,Spell Book,
ebwizardry:spell_book,125,,Spell Book,
ebwizardry:spell_book,126,,Spell Book,
ebwizardry:spell_book,127,,Spell Book,
ebwizardry:spell_book,128,,Spell Book,
ebwizardry:spell_book,129,,Spell Book,
ebwizardry:spell_book,130,,Spell Book,
ebwizardry:spell_book,131,,Spell Book,
ebwizardry:spell_book,132,,Spell Book,
ebwizardry:spell_book,133,,Spell Book,
ebwizardry:spell_book,134,,Spell Book,
ebwizardry:spell_book,135,,Spell Book,
ebwizardry:spell_book,136,,Spell Book,
ebwizardry:spell_book,137,,Spell Book,
ebwizardry:spell_book,138,,Spell Book,
ebwizardry:spell_book,139,,Spell Book,
ebwizardry:spell_book,140,,Spell Book,
ebwizardry:storage_upgrade,0,,Wand Storage Upgrade,
ebwizardry:transportation_stone,0,,Stone of Transportation,
ebwizardry:wizard_boots,0,,Wizard Boots,
ebwizardry:wizard_boots_earth,0,,§2Earth Mage Boots,
ebwizardry:wizard_boots_fire,0,,§4Pyromancer Boots,
ebwizardry:wizard_boots_healing,0,,§eHealer Boots,
ebwizardry:wizard_boots_ice,0,,§bIce Mage Boots,
ebwizardry:wizard_boots_lightning,0,,§3Storm Mage Boots,
ebwizardry:wizard_boots_necromancy,0,,§5Necromancer Boots,
ebwizardry:wizard_boots_sorcery,0,,§aSorcerer Boots,
ebwizardry:wizard_handbook,0,,The Wizard's Handbook,
ebwizardry:wizard_hat,0,,Wizard Hat,
ebwizardry:wizard_hat_earth,0,,§2Earth Mage Hat,
ebwizardry:wizard_hat_fire,0,,§4Pyromancer Hat,
ebwizardry:wizard_hat_healing,0,,§eHealer Hat,
ebwizardry:wizard_hat_ice,0,,§bIce Mage Hat,
ebwizardry:wizard_hat_lightning,0,,§3Storm Mage Hat,
ebwizardry:wizard_hat_necromancy,0,,§5Necromancer Hat,
ebwizardry:wizard_hat_sorcery,0,,§aSorcerer Hat,
ebwizardry:wizard_leggings,0,,Wizard Leggings,
ebwizardry:wizard_leggings_earth,0,,§2Earth Mage Leggings,
ebwizardry:wizard_leggings_fire,0,,§4Pyromancer Leggings,
ebwizardry:wizard_leggings_healing,0,,§eHealer Leggings,
ebwizardry:wizard_leggings_ice,0,,§bIce Mage Leggings,
ebwizardry:wizard_leggings_lightning,0,,§3Storm Mage Leggings,
ebwizardry:wizard_leggings_necromancy,0,,§5Necromancer Leggings,
ebwizardry:wizard_leggings_sorcery,0,,§aSorcerer Leggings,
ebwizardry:wizard_robe,0,,Wizard Robes,
ebwizardry:wizard_robe_earth,0,,§2Earth Mage Robes,
ebwizardry:wizard_robe_fire,0,,§4Pyromancer Robes,
ebwizardry:wizard_robe_healing,0,,§eHealer Robes,
ebwizardry:wizard_robe_ice,0,,§bIce Mage Robes,
ebwizardry:wizard_robe_lightning,0,,§3Storm Mage Robes,
ebwizardry:wizard_robe_necromancy,0,,§5Necromancer Robes,
ebwizardry:wizard_robe_sorcery,0,,§aSorcerer Robes,
effortlessbuilding:randomizer_bag,0,,Randomizer Bag,
effortlessbuilding:reach_upgrade1,0,,Reach Upgrade 1,
effortlessbuilding:reach_upgrade2,0,,Reach Upgrade 2,
effortlessbuilding:reach_upgrade3,0,,Reach Upgrade 3,
flying_things:enchanted_broom,0,,§6Enchanted Broom,
flying_things:enchanted_broom,1,,§6Enchanted Broom,
flying_things:enchanted_broom,2,,§6Enchanted Broom,
flying_things:enchanted_broom,3,,§6Enchanted Broom,
flying_things:enchanted_broom,4,,§6Enchanted Broom,
flying_things:enchanted_broom,5,,§6Enchanted Broom,
flying_things:enchanted_broom,6,,§6Enchanted Broom,
flying_things:enchanted_broom,7,,§6Enchanted Broom,
flying_things:enchanted_broom,8,,§6Enchanted Broom,
flying_things:enchanted_broom,9,,§6Enchanted Broom,
flying_things:enchanted_broom,10,,§6Enchanted Broom,
flying_things:enchanted_broom,11,,§6Enchanted Broom,
flying_things:enchanted_broom,12,,§6Enchanted Broom,
flying_things:enchanted_broom,13,,§6Enchanted Broom,
flying_things:enchanted_broom,14,,§6Enchanted Broom,
flying_things:enchanted_broom,15,,§6Enchanted Broom,
flying_things:magic_carpet,0,,§6Magic Carpet,
flying_things:magic_carpet,1,,§6Magic Carpet,
flying_things:magic_carpet,2,,§6Magic Carpet,
flying_things:magic_carpet,3,,§6Magic Carpet,
flying_things:magic_carpet,4,,§6Magic Carpet,
flying_things:magic_carpet,5,,§6Magic Carpet,
flying_things:magic_carpet,6,,§6Magic Carpet,
flying_things:magic_carpet,7,,§6Magic Carpet,
flying_things:magic_carpet,8,,§6Magic Carpet,
flying_things:magic_carpet,9,,§6Halloween Carpet,
flying_things:magic_carpet,10,,§6Halloween Carpet,
flying_things:magic_carpet,11,,§6Halloween Carpet,
flying_things:magic_carpet,12,,§6Halloween Carpet,
flying_things:magic_carpet,13,,§6Halloween Carpet,
flying_things:phial_of_animation,0,,Phial of Animation,
flying_things:pumpkin_stick,0,,§6Halloween Stick,
forge:bucketfilled,0,"{FluidName:""oliveoil"",Amount:1000}",Olive Oil Bucket,
forge:bucketfilled,0,"{FluidName:""ironberryjuice"",Amount:1000}",Ironberry Juice Bucket,
forge:bucketfilled,0,"{FluidName:""wildberryjuice"",Amount:1000}",Wildberry Juice Bucket,
forge:bucketfilled,0,"{FluidName:""grapejuice"",Amount:1000}",Grape Juice Bucket,
forge:bucketfilled,0,"{FluidName:""applejuice"",Amount:1000}",Apple Juice Bucket,
forge:bucketfilled,0,"{FluidName:""alewort"",Amount:1000}",Ale Wort Bucket,
forge:bucketfilled,0,"{FluidName:""honey"",Amount:1000}",Honey Bucket,
forge:bucketfilled,0,"{FluidName:""fierymetal"",Amount:1000}",Molten Fiery Bucket,
forge:bucketfilled,0,"{FluidName:""knightmetal"",Amount:1000}",Molten Knightmetal Bucket,
forge:bucketfilled,0,"{FluidName:""fiery_essence"",Amount:1000}",Fiery Essence Bucket,
ftfloocraft:floopowder_eight,0,,Floo Powder,
ftfloocraft:floopowder_four,0,,Floo Powder,
ftfloocraft:floopowder_infinite,0,,Floo Powder,
ftfloocraft:floopowder_one,0,,Floo Powder,
ftfloocraft:floopowder_two,0,,Floo Powder,
ftfloocraft:flootorch,0,,Floo Torch,
ftfloocraft:floowerpot,0,,Floower Pot,
ftfloocraft:itemfloosign,0,,Floo Sign,
ichunutil:compact_porkchop,0,,Compact Raw Porkchop,
millenaire:alchemist_amulet,0,,Amulet of the Alchemist,
millenaire:alchemistexplosive,0,,Alchemist's Explosive,
millenaire:animalspawn,0,,Cow Spawn Point,
millenaire:animalspawn,1,,Pig Spawn Point,
millenaire:animalspawn,2,,Sheep Spawn Point,
millenaire:animalspawn,3,,Chicken Spawn Point,
millenaire:animalspawn,4,,Squid Spawn Point,
millenaire:animalspawn,5,,Wolf Spawn Point,
millenaire:animalspawn,6,,tile.millenaire.animalspawn.polarbear.name,
millenaire:bearmeat_cooked,0,,Bear Steak,
millenaire:bearmeat_raw,0,,Raw Bear Meat,
millenaire:bed_straw,0,,Straw Bed,
millenaire:boudin,0,,Boudin Noir,
millenaire:brickmould,0,,Brick Mould,
millenaire:byzantine_stone_tiles,0,,Byzantine Stone Tile,
millenaire:byzantine_tiles,0,,Byzantine Tiles,
millenaire:byzantine_tiles_slab,0,,Byzantine Tile Slab,
millenaire:byzantineboots,0,,Byzantine Boots,
millenaire:byzantinehelmet,0,,Byzantine Helmet,
millenaire:byzantineiconlarge,0,,Large Byzantine Icon,
millenaire:byzantineiconmedium,0,,Medium Byzantine Icon,
millenaire:byzantineiconsmall,0,,Small Byzantine Icon,
millenaire:byzantinelegs,0,,Byzantine Leggings,
millenaire:byzantinemace,0,,Byzantine Mace,
millenaire:byzantineplate,0,,Byzantine Chestplate,
millenaire:cacauhaa,0,,Cacauhaa,
millenaire:calva,0,,Calva,
millenaire:chickencurry,0,,Murgh Curry,
millenaire:cider,0,,Cider,
millenaire:ciderapple,0,,Cider Apple,
millenaire:clothes_byz_silk,0,,Silk Byzantine clothes,
millenaire:clothes_byz_wool,0,,Wool Byzantine clothes,
millenaire:decorblock,0,,Norman Tapestry,
millenaire:decorblock,1,,Indian Statue,
millenaire:decorblock,2,,Byzantine Icon Small,
millenaire:decorblock,3,,Byzantine Icon Medium,
millenaire:decorblock,4,,Byzantine Icon Large,
millenaire:decorblock,5,,Maya Statue,
millenaire:decorblock,6,,tile.millenaire.decorblock.hidehanging.name,
millenaire:denier,0,,Denier,
millenaire:denierargent,0,,Denier Argent,
millenaire:denieror,0,,Denier Or,
millenaire:earth_deco,0,,Dirt Wall,
millenaire:feta,0,,Feta,
millenaire:fire_pit,0,,Fire Pit,
millenaire:freeblock,0,,Free Stone,
millenaire:freeblock,1,,Free Sand,
millenaire:freeblock,2,,Free Gravel,
millenaire:freeblock,3,,Free Sandstone,
millenaire:freeblock,4,,Free Wool,
millenaire:furboots,0,,Fur Boots,
millenaire:furhelmet,0,,Fur Hood,
millenaire:furlegs,0,,Fur Leggings,
millenaire:furplate,0,,Fur Coat,
millenaire:grapes,0,,Grapes,
millenaire:hidehanging,0,,Hanging Hide,
millenaire:icebrick,0,,Ice Brick,
millenaire:ikayaki,0,,Ikayaki,
millenaire:import_table,0,,Import Table,
millenaire:indianstatue,0,,Hindu Statue,
millenaire:inuitbearstew,0,,Inuit Bear Stew,
millenaire:inuitbow,0,,Pitiksi Bow,
millenaire:inuitcarving,4,,Inuit Carving,
millenaire:inuitmeatystew,0,,Inuit Meat Stew,
millenaire:inuitpotatostew,0,,Inuit Potato Stew,
millenaire:inuittrident,0,,Kakivak,
millenaire:japaneseblueboots,0,,Blue ō-yoroi boots,
millenaire:japanesebluehelmet,0,,Blue ō-yoroi helmet,
millenaire:japanesebluelegs,0,,Blue ō-yoroi leggings,
millenaire:japaneseblueplate,0,,Blue ō-yoroi chestplate,
millenaire:japaneseguardboots,0,,Keiko boots,
millenaire:japaneseguardhelmet,0,,Keiko helmet,
millenaire:japaneseguardlegs,0,,Keiko leggings,
millenaire:japaneseguardplate,0,,Keiko chestplate,
millenaire:japaneseredboots,0,,Red ō-yoroi boots,
millenaire:japaneseredhelmet,0,,Red ō-yoroi helmet,
millenaire:japaneseredlegs,0,,Red ō-yoroi leggings,
millenaire:japaneseredplate,0,,Red ō-yoroi chestplate,
millenaire:leaves_appletree,0,,Apple Tree Leaves,
millenaire:locked_chest,0,,Locked Chest,
millenaire:mainchest,0,,Main Chest,
millenaire:maize,0,,Maize,
millenaire:markerblock,0,,Preserve Ground,
millenaire:markerblock,1,,Sleeping Pos,
millenaire:markerblock,2,,Selling Pos,
millenaire:markerblock,3,,Crafting Pos,
millenaire:markerblock,4,,Defending Pos,
millenaire:markerblock,5,,Shelter Pos,
millenaire:markerblock,6,,Path Start Pos,
millenaire:markerblock,7,,Leisure Pos,
millenaire:markerblock,8,,Stall Pos,
millenaire:markerblock,9,,Brick Drying Pos,
millenaire:markerblock,10,,Healing Pos,
millenaire:markerblock,11,,Fishing Pos,
millenaire:masa,0,,Masa,
millenaire:mayanaxe,0,,Obsidian Axe,
millenaire:mayanhoe,0,,Obsidian Hoe,
millenaire:mayanmace,0,,Obsidian Mace,
millenaire:mayanpickaxe,0,,Obsidian Pickaxe,
millenaire:mayanquestcrown,0,,Maya Crown,
millenaire:mayanshovel,0,,Obsidian Shovel,
millenaire:mayanstatue,0,,Maya Carving,
millenaire:negationwand,0,,Wand of Negation,
millenaire:normanaxe,0,,Norman Axe,
millenaire:normanboots,0,,Norman Boots,
millenaire:normanbroadsword,0,,Norman Broadsword,
millenaire:normanhelmet,0,,Norman Helmet,
millenaire:normanhoe,0,,Norman Hoe,
millenaire:normanlegs,0,,Norman Leggings,
millenaire:normanpickaxe,0,,Norman Pickaxe,
millenaire:normanplate,0,,Norman Chestplate,
millenaire:normanshovel,0,,Norman Shovel,
millenaire:obsidianflake,0,,Obsidian Flake,
millenaire:paper_wall,0,,Paper Wall,
millenaire:parchment_sadhu,0,,Book of the Sadhu,
millenaire:parchment_villagescroll,0,,Village Scroll,
millenaire:pathdirt,0,,Dirt path,
millenaire:pathdirt_slab,0,,Dirt path,
millenaire:pathgravel,0,,Gravel path,
millenaire:pathgravel_slab,0,,Gravel path,
millenaire:pathgravelslabs,0,,Slabs and gravel path,
millenaire:pathgravelslabs_slab,0,,Slabs and gravel path,
millenaire:pathochretiles,0,,Ochre slabs path,
millenaire:pathochretiles_slab,0,,Ochre slabs path,
millenaire:pathsandstone,0,,Sandstone slabs path,
millenaire:pathsandstone_slab,0,,Sandstone slabs path,
millenaire:pathslabs,0,,Slabs path,
millenaire:pathslabs_slab,0,,Slabs path,
millenaire:pathsnow,0,,Snow path,
millenaire:pathsnow_slab,0,,Snow path,
millenaire:purse,0,,Deniers Pouch,
millenaire:rasgulla,0,,Rasgulla,
millenaire:rice,0,,Rice,
millenaire:rosette,0,,Rosette Stained Glass Windows,
millenaire:sake,0,,Sake,
millenaire:sapling_appletree,0,,Apple Tree Sapling,
millenaire:seafood_cooked,0,,Sea Meat,
millenaire:seafood_raw,0,,Raw Sea Meat,
millenaire:silk,0,,Silk,
millenaire:silk_worm,0,,Empty Sericulture Block,
millenaire:silk_worm,3,,Sericulture Block,
millenaire:skoll_hati_amulet,0,,Amulet of Sköll and Hati,
millenaire:slab_stone_deco,0,,Mud Brick Slab,
millenaire:slab_stone_deco,1,,Cooked Brick Slab,
millenaire:slab_wood_deco,0,,Timber Frame Slab,
